s vacf_x VACF
3850 9.1582933374988833159e-08 1.5704126139348569171e-07
3860 9.0455860047357606639e-08 1.5671420401613879182e-07
3870 8.9524722906983901089e-08 1.566726316526892323e-07
3880 8.8815562124268500175e-08 1.5692916356821293905e-07
3890 8.8302512985488870032e-08 1.5739790274751264365e-07
3900 8.7920614480727751983e-08 1.5790717484872013925e-07
3910 8.7595898806400776365e-08 1.5824804663566334974e-07
3920 8.7276655253494779906e-08 1.5823383299874733324e-07
3930 8.6934296216644046431e-08 1.5771133554142525927e-07
3940 8.6562529030007072933e-08 1.5657899136624559407e-07
3950 8.6172797254477686642e-08 1.5481858975886351051e-07
3960 8.5775905740991184708e-08 1.5248780057448513884e-07
3970 8.537961767710896747e-08 1.4970431925730647482e-07
3980 8.4995635608560060568e-08 1.4665111231433214338e-07
3990 8.4639639343414549345e-08 1.4354458375418802678e-07
4000 8.4323865820143351528e-08 1.4060857721560301148e-07
4010 8.4050413727705967356e-08 1.3804660468394107918e-07
4020 8.3812211449482289241e-08 1.3601440327397621704e-07
4030 8.3599656758949835913e-08 1.3462025775388132237e-07
4040 8.3401602448206087919e-08 1.3389334089610477778e-07
4050 8.3212888636150062184e-08 1.3379617684198099689e-07
4060 8.304116389196815555e-08 1.3423141254051630582e-07
4070 8.2901611273792880323e-08 1.350691396101849374e-07
4080 8.2817399001646510786e-08 1.3615772157013407947e-07
4090 8.2809499575207389642e-08 1.3735517499241820904e-07
4100 8.2893413587042764299e-08 1.3854030811564607072e-07
4110 8.3065440960875384014e-08 1.3962240928058393119e-07
4120 8.3304238732298091897e-08 1.4055070348793000103e-07
4130 8.3572961739357914647e-08 1.4130524007825661047e-07
4140 8.3840642176378108517e-08 1.4189270390363684383e-07
4150 8.4087003730713791872e-08 1.4232097720162707786e-07
4160 8.4302445338477087812e-08 1.4259455280469766168e-07
4170 8.4480162645624928418e-08 1.4271444088194835798e-07
4180 8.4599424232490709757e-08 1.4267995057474182684e-07
4190 8.4624639341634016141e-08 1.4249571836620317083e-07
4200 8.451299555911958506e-08 1.4217641916851630482e-07
4210 8.4223955959753149633e-08 1.4174999559746952943e-07
4220 8.3735442835021004607e-08 1.4126201261732396648e-07
4230 8.3055152731188532935e-08 1.4077631331542004789e-07
4240 8.2217886322936696568e-08 1.4037031795853770522e-07
4250 8.1283001948057710888e-08 1.4012151046990191518e-07
4260 8.0322664492744353417e-08 1.4009096583893254519e-07
4270 7.9402290454406407006e-08 1.4029623629943505084e-07
4280 7.8576166399762819272e-08 1.4072513599041823244e-07
4290 7.7876093761746359693e-08 1.4132557488764163332e-07
4300 7.7308760662658290232e-08 1.4201918522780480495e-07
4310 7.6844839475520097013e-08 1.4270951090693838105e-07
4320 7.6425068931219663988e-08 1.4328555367923052886e-07
4330 7.5956703441935209467e-08 1.4361575905502887811e-07
4340 7.5321884294913546237e-08 1.4355787348196911551e-07
4350 7.439704992957088842e-08 1.429774872808802448e-07
4360 7.3067036476478717403e-08 1.4175963566088900623e-07
4370 7.1243195746439133165e-08 1.398258924241825355e-07
4380 6.8884955134358477024e-08 1.3716760261679937337e-07
4390 6.5998754828354774172e-08 1.3384199374746032274e-07
4400 6.2639937316045310654e-08 1.2997650130771075398e-07
4410 5.8888004193317574089e-08 1.2572627317311789871e-07
4420 5.4842931103929623756e-08 1.2126278840124696224e-07
4430 5.0606176568905992949e-08 1.1674690280902162408e-07
4440 4.6274337261794801885e-08 1.1232413100072789831e-07
4450 4.1926413830142968325e-08 1.0811206153820923965e-07
4460 3.7640137752914092736e-08 1.0420588585097860531e-07
4470 3.3492384646035393563e-08 1.0068832590967460291e-07
4480 2.9575409229207135193e-08 9.7621880790589067547e-08
4490 2.5986651571501392337e-08 9.503073751324199672e-08
4500 2.2815008383078606601e-08 9.2880757660851163088e-08
4510 2.013185594009030094e-08 9.1079192880649752131e-08
4520 1.7980573521616071081e-08 8.9505686954042133412e-08
4530 1.6365333982063000576e-08 8.8035088868164892741e-08
4540 1.5255971687370778796e-08 8.6564893966778091173e-08
4550 1.4589261818949410699e-08 8.5029718420235171056e-08
4560 1.4287040976600669156e-08 8.3405984442076852208e-08
4570 1.4271696347270840323e-08 8.1681350151083639953e-08
4580 1.4497736732382604558e-08 7.9859480081560810527e-08
4590 1.4947398634406136969e-08 7.7936802781987276944e-08
4600 1.5633170428079985743e-08 7.5904144284068799793e-08
4610 1.6584625563740037284e-08 7.3766748740511698924e-08
4620 1.7833979142184322989e-08 7.1543191241972231723e-08
4630 1.9411435665871301336e-08 6.9276835758770065288e-08
4640 2.1346078663522167101e-08 6.7042347457385668849e-08
4650 2.3652917579279516396e-08 6.4941959691434699114e-08
4660 2.6315910231944514217e-08 6.3078951607658775656e-08
4670 2.9265015955077074415e-08 6.153119013442981764e-08
4680 3.2382367816190339793e-08 6.0332049129463168852e-08
4690 3.5541630240172277384e-08 5.9479831968769226828e-08
4700 3.8653790147943590956e-08 5.8965775607822463094e-08
4710 4.1688368806004630699e-08 5.8789202074215580342e-08
4720 4.4661882046689946901e-08 5.8965575033243462626e-08
4730 4.7617684603755623661e-08 5.9503281510922683994e-08
4740 5.0601493881213028818e-08 6.0399808963993297974e-08
4750 5.3658679012282141029e-08 6.1645355626994828825e-08
4760 5.6823345391941354607e-08 6.3200201512897108787e-08
4770 6.0115290868585474711e-08 6.501091689400412566e-08
4780 6.353337390651556498e-08 6.7000105238091169109e-08
4790 6.705259634606297547e-08 6.9076202439964180054e-08
4800 7.0624773919283344789e-08 7.114998337130387025e-08
4810 7.4184119447747048148e-08 7.3148199964182270662e-08
4820 7.7661115007913223314e-08 7.5034880905817759753e-08
4830 8.0994770236085927464e-08 7.6807049048924067053e-08
4840 8.4132938464610081643e-08 7.8492591930628917274e-08
4850 8.7017455583605912787e-08 8.0117791521164482565e-08
4860 8.9586924654505795144e-08 8.1698203602022913322e-08
4870 9.1773610249937108567e-08 8.3223953478447664916e-08
4880 9.3515659967911400105e-08 8.466143426028371434e-08
4890 9.4773307251206241613e-08 8.597087772541100669e-08
4900 9.5531742423153230708e-08 8.7117320695801019267e-08
4910 9.5820904032097496989e-08 8.8110301666709220976e-08
4920 9.5707694035892505826e-08 8.9014528016061334619e-08
4930 9.5290743471523915714e-08 8.9944424622208596014e-08
4940 9.467182184980016567e-08 9.1027864018727060591e-08
4950 9.3938152240737880225e-08 9.236189363347093966e-08
4960 9.3152172575811410516e-08 9.3982551661209973575e-08
4970 9.2353244183796903213e-08 9.5868935474693739922e-08
4980 9.1562815530853032643e-08 9.7955768026429796302e-08
4990 9.0788732038605551988e-08 1.0017128454448455952e-07
5000 9.0023130880527614377e-08 1.024370942350942356e-07
5010 8.9248951291122499159e-08 1.0470020428513373975e-07
5020 8.8443127942801500597e-08 1.0691491090448820379e-07
5030 8.7583123255740853058e-08 1.0903288630724548292e-07
5040 8.6651311200444235123e-08 1.1099398924377610302e-07
5050 8.5641074352751155156e-08 1.1272242599054203535e-07
5060 8.4557516690715901818e-08 1.1412968640899680962e-07
5070 8.3415044349661709172e-08 1.1515261984063261395e-07
5080 8.2225032667152775924e-08 1.1573310469742861317e-07
5090 8.1005254037679120462e-08 1.158380379178663785e-07
5100 7.9786078404827487994e-08 1.1544809911810108021e-07
5110 7.8599970931486988727e-08 1.145497267757588193e-07
5120 7.7472360500075019908e-08 1.1311434433122042197e-07
5130 7.6415760851330306457e-08 1.1111168029914370092e-07
5140 7.5439352202984614406e-08 1.0853773444621721149e-07
5150 7.4559608088676443111e-08 1.0545404679796101389e-07
5160 7.3815328884710840415e-08 1.0198224988571316626e-07
5170 7.3262814069268514028e-08 9.8281639624703203521e-08
5180 7.296261021723851784e-08 9.4511433661196804606e-08
5190 7.295720449012801307e-08 9.079868788408527273e-08
5200 7.3258695650307427467e-08 8.7217191363532588803e-08
5210 7.3839752569819860732e-08 8.3797105625983264839e-08
5220 7.4633225247677383223e-08 8.0540307109142319932e-08
5230 7.5538809715607587438e-08 7.7430311522888726998e-08
5240 7.6433249231042090189e-08 7.4433796068105662116e-08
5250 7.7198388293804090153e-08 7.1515755398751097631e-08
5260 7.7736816688145114812e-08 6.8636524609125402032e-08
5270 7.7983412166882805023e-08 6.5759153260462180519e-08
5280 7.7915777094814941848e-08 6.2859361444959688261e-08
5290 7.754916268776691098e-08 5.9934247518303796696e-08
5300 7.6917291729891768044e-08 5.7004294491204557128e-08
5310 7.6060156033761916924e-08 5.4115064258490671474e-08
5320 7.5007288051916069176e-08 5.1308481623248427193e-08
5330 7.3758923890097906398e-08 4.8614609448997712833e-08
5340 7.2287225653161623935e-08 4.6045931666507186262e-08
5350 7.0546400477140895687e-08 4.3606802741786507266e-08
5360 6.8491251842020151615e-08 4.1309856045520805666e-08
5370 6.6096134126970987978e-08 3.9184285320052348929e-08
5380 6.3371303228712758757e-08 3.7294219328614349623e-08
5390 6.03756122561278272e-08 3.5751745339431284218e-08
5400 5.720964698074063872e-08 3.471431730339724989e-08
5410 5.3995045257860439405e-08 3.4366664970854286198e-08
5420 5.0851935323593664567e-08 3.4878666842727290436e-08
5430 4.7869673806595372164e-08 3.6356131234270404034e-08
5440 4.5096715549434500861e-08 3.8805357965013612518e-08
5450 4.2531644821971504477e-08 4.2133095195259389586e-08
